Date;m3_d_hinterlug
01.01.2001;680.0
02.01.2001;678.0
03.01.2001;672.0
04.01.2001;676.0
05.01.2001;683.0
06.01.2001;704.0
07.01.2001;733.0
08.01.2001;746.0
09.01.2001;752.0
10.01.2001;751.0
11.01.2001;760.0
12.01.2001;759.0
13.01.2001;758.0
14.01.2001;759.0
15.01.2001;772.0
16.01.2001;770.0
17.01.2001;775.0
18.01.2001;792.0
19.01.2001;784.0
20.01.2001;774.0
21.01.2001;766.0
22.01.2001;760.0
23.01.2001;758.0
24.01.2001;751.0
25.01.2001;746.0
26.01.2001;747.0
27.01.2001;757.0
28.01.2001;764.0
29.01.2001;768.0
30.01.2001;765.0
31.01.2001;764.0
01.02.2001;761.0
02.02.2001;759.0
03.02.2001;759.0
04.02.2001;787.0
05.02.2001;873.0
06.02.2001;953.0
07.02.2001;1130.0
08.02.2001;1139.0
09.02.2001;1063.0
10.02.2001;1002.0
11.02.2001;946.0
12.02.2001;941.0
13.02.2001;941.0
14.02.2001;945.0
15.02.2001;949.0
16.02.2001;956.0
17.02.2001;944.0
18.02.2001;925.0
19.02.2001;928.0
20.02.2001;921.0
21.02.2001;916.0
22.02.2001;917.0
23.02.2001;924.0
24.02.2001;919.0
25.02.2001;913.0
26.02.2001;910.0
27.02.2001;905.0
28.02.2001;902.0
01.03.2001;920.0
02.03.2001;918.0
03.03.2001;917.0
04.03.2001;929.0
05.03.2001;941.0
06.03.2001;941.0
07.03.2001;952.0
08.03.2001;959.0
09.03.2001;961.0
10.03.2001;955.0
11.03.2001;950.0
12.03.2001;949.0
13.03.2001;956.0
14.03.2001;963.0
15.03.2001;974.0
16.03.2001;1023.0
17.03.2001;1076.0
18.03.2001;1087.0
19.03.2001;1075.0
20.03.2001;1054.0
21.03.2001;1043.0
22.03.2001;1043.0
23.03.2001;1050.0
24.03.2001;1214.0
25.03.2001;1409.0
26.03.2001;1330.0
27.03.2001;1263.0
28.03.2001;1237.0
29.03.2001;1200.0
30.03.2001;1153.0
31.03.2001;1120.0
01.04.2001;1085.0
02.04.2001;1056.0
03.04.2001;1044.0
04.04.2001;1030.0
05.04.2001;1018.0
06.04.2001;1001.0
07.04.2001;990.0
08.04.2001;979.0
09.04.2001;1028.0
10.04.2001;1078.0
11.04.2001;1089.0
12.04.2001;1156.0
13.04.2001;1242.0
14.04.2001;1200.0
15.04.2001;1143.0
16.04.2001;1165.0
17.04.2001;1316.0
18.04.2001;1290.0
19.04.2001;1231.0
20.04.2001;1185.0
21.04.2001;1161.0
22.04.2001;1153.0
23.04.2001;1153.0
24.04.2001;1140.0
25.04.2001;1127.0
26.04.2001;1103.0
27.04.2001;1093.0
28.04.2001;1076.0
29.04.2001;1055.0
30.04.2001;1045.0
01.05.2001;1027.0
02.05.2001;1012.0
03.05.2001;999.0
04.05.2001;1007.0
05.05.2001;1013.0
06.05.2001;993.0
07.05.2001;1099.0
08.05.2001;1091.0
09.05.2001;1083.0
10.05.2001;1075.0
11.05.2001;1067.0
12.05.2001;1059.0
13.05.2001;1051.0
14.05.2001;1043.0
15.05.2001;1035.0
16.05.2001;1027.0
17.05.2001;1019.0
18.05.2001;1011.0
19.05.2001;1003.0
20.05.2001;995.0
21.05.2001;987.0
22.05.2001;979.0
23.05.2001;971.0
24.05.2001;963.0
25.05.2001;955.0
26.05.2001;947.0
27.05.2001;939.0
28.05.2001;931.0
29.05.2001;923.0
30.05.2001;915.0
31.05.2001;907.0
01.06.2001;899.0
02.06.2001;891.0
03.06.2001;883.0
04.06.2001;875.0
05.06.2001;867.0
06.06.2001;859.0
07.06.2001;851.0
08.06.2001;843.0
09.06.2001;835.0
10.06.2001;827.0
11.06.2001;821.0
12.06.2001;815.0
13.06.2001;809.0
14.06.2001;802.0
15.06.2001;796.0
16.06.2001;789.0
17.06.2001;783.0
18.06.2001;776.0
19.06.2001;769.0
20.06.2001;761.0
21.06.2001;754.0
22.06.2001;747.0
23.06.2001;742.0
24.06.2001;742.0
25.06.2001;741.0
26.06.2001;732.0
27.06.2001;727.0
28.06.2001;731.0
29.06.2001;722.0
30.06.2001;722.0
01.07.2001;717.0
02.07.2001;705.0
03.07.2001;702.0
04.07.2001;700.0
05.07.2001;706.0
06.07.2001;700.0
07.07.2001;699.0
08.07.2001;701.0
09.07.2001;695.0
10.07.2001;693.0
11.07.2001;690.0
12.07.2001;685.0
13.07.2001;682.0
14.07.2001;678.0
15.07.2001;675.0
16.07.2001;673.0
17.07.2001;670.0
18.07.2001;666.0
19.07.2001;664.0
20.07.2001;660.0
21.07.2001;664.0
22.07.2001;660.0
23.07.2001;656.0
24.07.2001;654.0
25.07.2001;653.0
26.07.2001;649.0
27.07.2001;645.0
28.07.2001;643.0
29.07.2001;639.0
30.07.2001;637.0
31.07.2001;634.0
01.08.2001;632.0
02.08.2001;633.0
03.08.2001;630.0
04.08.2001;627.0
05.08.2001;623.0
06.08.2001;622.0
07.08.2001;620.0
08.08.2001;616.0
09.08.2001;615.0
10.08.2001;611.0
11.08.2001;610.0
12.08.2001;608.0
13.08.2001;606.0
14.08.2001;604.0
15.08.2001;601.0
16.08.2001;599.0
17.08.2001;597.0
18.08.2001;594.0
19.08.2001;591.0
20.08.2001;590.0
21.08.2001;588.0
22.08.2001;585.0
23.08.2001;581.0
24.08.2001;581.0
25.08.2001;579.0
26.08.2001;577.0
27.08.2001;577.0
28.08.2001;573.0
29.08.2001;575.0
30.08.2001;570.0
31.08.2001;569.0
01.09.2001;567.0
02.09.2001;565.0
03.09.2001;565.0
04.09.2001;562.0
05.09.2001;563.0
06.09.2001;564.0
07.09.2001;563.0
08.09.2001;569.0
09.09.2001;580.0
10.09.2001;583.0
11.09.2001;577.0
12.09.2001;573.0
13.09.2001;577.0
14.09.2001;574.0
15.09.2001;579.0
16.09.2001;579.0
17.09.2001;579.0
18.09.2001;579.0
19.09.2001;630.0
20.09.2001;627.0
21.09.2001;618.0
22.09.2001;611.0
23.09.2001;605.0
24.09.2001;603.0
25.09.2001;598.0
26.09.2001;602.0
27.09.2001;607.0
28.09.2001;611.0
29.09.2001;608.0
30.09.2001;606.0
01.10.2001;606.0
02.10.2001;601.0
03.10.2001;598.0
04.10.2001;596.0
05.10.2001;594.0
06.10.2001;592.0
07.10.2001;591.0
08.10.2001;592.0
09.10.2001;590.0
10.10.2001;589.0
11.10.2001;588.0
12.10.2001;585.0
13.10.2001;583.0
14.10.2001;580.0
15.10.2001;581.0
16.10.2001;578.0
17.10.2001;578.0
18.10.2001;572.0
19.10.2001;572.0
20.10.2001;572.0
21.10.2001;568.0
22.10.2001;570.0
23.10.2001;566.0
24.10.2001;566.0
25.10.2001;566.0
26.10.2001;563.0
27.10.2001;559.0
28.10.2001;559.0
29.10.2001;556.0
30.10.2001;554.0
31.10.2001;551.0
01.11.2001;552.0
02.11.2001;547.0
03.11.2001;546.0
04.11.2001;545.0
05.11.2001;543.0
