Date;m3_d_mitterlug
01.01.2005;199.0
02.01.2005;230.0
03.01.2005;252.0
04.01.2005;272.0
05.01.2005;263.0
06.01.2005;266.0
07.01.2005;265.0
08.01.2005;255.0
09.01.2005;246.0
10.01.2005;236.0
11.01.2005;230.0
12.01.2005;227.0
13.01.2005;220.0
14.01.2005;217.0
15.01.2005;215.0
16.01.2005;211.0
17.01.2005;210.0
18.01.2005;209.0
19.01.2005;207.0
20.01.2005;217.0
21.01.2005;456.0
22.01.2005;362.0
23.01.2005;309.0
24.01.2005;286.0
25.01.2005;275.0
26.01.2005;264.0
27.01.2005;259.0
28.01.2005;253.0
29.01.2005;246.0
30.01.2005;242.0
31.01.2005;240.0
01.02.2005;239.0
02.02.2005;224.0
03.02.2005;240.0
04.02.2005;239.0
05.02.2005;238.0
06.02.2005;232.0
07.02.2005;228.0
08.02.2005;225.0
09.02.2005;226.0
10.02.2005;224.0
11.02.2005;256.0
12.02.2005;475.0
13.02.2005;584.0
14.02.2005;439.0
15.02.2005;391.0
16.02.2005;366.0
17.02.2005;348.0
18.02.2005;337.0
19.02.2005;330.0
20.02.2005;325.0
21.02.2005;318.0
22.02.2005;314.0
23.02.2005;306.0
24.02.2005;300.0
25.02.2005;298.0
26.02.2005;291.0
27.02.2005;289.0
28.02.2005;283.0
01.03.2005;278.0
02.03.2005;274.0
03.03.2005;273.0
04.03.2005;269.0
05.03.2005;267.0
06.03.2005;262.0
07.03.2005;259.0
08.03.2005;261.0
09.03.2005;257.0
10.03.2005;255.0
11.03.2005;256.0
12.03.2005;257.0
13.03.2005;255.0
14.03.2005;256.0
15.03.2005;256.0
16.03.2005;280.0
17.03.2005;333.0
18.03.2005;558.0
19.03.2005;698.0
20.03.2005;597.0
21.03.2005;498.0
22.03.2005;465.0
23.03.2005;450.0
24.03.2005;458.0
25.03.2005;458.0
26.03.2005;459.0
27.03.2005;452.0
28.03.2005;436.0
29.03.2005;423.0
30.03.2005;412.0
31.03.2005;397.0
01.04.2005;383.0
02.04.2005;376.0
03.04.2005;369.0
04.04.2005;363.0
05.04.2005;358.0
06.04.2005;358.0
07.04.2005;353.0
08.04.2005;350.0
09.04.2005;350.0
10.04.2005;347.0
11.04.2005;341.0
12.04.2005;339.0
13.04.2005;334.0
14.04.2005;330.0
15.04.2005;330.0
16.04.2005;325.0
17.04.2005;325.0
18.04.2005;332.0
19.04.2005;355.0
20.04.2005;430.0
21.04.2005;444.0
22.04.2005;395.0
23.04.2005;373.0
24.04.2005;361.0
25.04.2005;355.0
26.04.2005;365.0
27.04.2005;358.0
28.04.2005;351.0
29.04.2005;346.0
30.04.2005;343.0
01.05.2005;341.0
02.05.2005;333.0
03.05.2005;333.0
04.05.2005;331.0
05.05.2005;327.0
06.05.2005;332.0
07.05.2005;329.0
08.05.2005;355.0
09.05.2005;343.0
10.05.2005;341.0
11.05.2005;341.0
12.05.2005;340.0
13.05.2005;338.0
14.05.2005;334.0
15.05.2005;335.0
16.05.2005;331.0
17.05.2005;326.0
18.05.2005;346.0
19.05.2005;484.0
20.05.2005;399.0
21.05.2005;378.0
22.05.2005;369.0
23.05.2005;362.0
24.05.2005;358.0
25.05.2005;351.0
26.05.2005;347.0
27.05.2005;344.0
28.05.2005;340.0
29.05.2005;339.0
30.05.2005;351.0
31.05.2005;426.0
01.06.2005;384.0
02.06.2005;376.0
03.06.2005;366.0
04.06.2005;369.0
05.06.2005;367.0
06.06.2005;360.0
07.06.2005;399.0
08.06.2005;382.0
09.06.2005;391.0
10.06.2005;380.0
11.06.2005;375.0
12.06.2005;368.0
13.06.2005;363.0
14.06.2005;361.0
15.06.2005;355.0
16.06.2005;363.0
17.06.2005;354.0
18.06.2005;351.0
19.06.2005;348.0
20.06.2005;348.0
21.06.2005;343.0
22.06.2005;339.0
23.06.2005;340.0
24.06.2005;334.0
25.06.2005;333.0
26.06.2005;336.0
27.06.2005;326.0
28.06.2005;320.0
29.06.2005;320.0
30.06.2005;315.0
01.07.2005;316.0
02.07.2005;321.0
03.07.2005;320.0
04.07.2005;311.0
05.07.2005;324.0
06.07.2005;328.0
07.07.2005;326.0
08.07.2005;381.0
09.07.2005;358.0
10.07.2005;580.0
11.07.2005;551.0
12.07.2005;622.0
13.07.2005;527.0
14.07.2005;469.0
15.07.2005;435.0
16.07.2005;428.0
17.07.2005;415.0
18.07.2005;399.0
19.07.2005;391.0
20.07.2005;385.0
21.07.2005;377.0
22.07.2005;372.0
23.07.2005;369.0
24.07.2005;362.0
25.07.2005;358.0
26.07.2005;350.0
27.07.2005;346.0
28.07.2005;343.0
29.07.2005;337.0
30.07.2005;332.0
31.07.2005;331.0
01.08.2005;328.0
02.08.2005;324.0
03.08.2005;325.0
04.08.2005;326.0
05.08.2005;318.0
06.08.2005;319.0
07.08.2005;318.0
08.08.2005;314.0
09.08.2005;311.0
10.08.2005;307.0
11.08.2005;307.0
12.08.2005;300.0
13.08.2005;301.0
14.08.2005;303.0
15.08.2005;335.0
16.08.2005;517.0
17.08.2005;554.0
18.08.2005;485.0
19.08.2005;415.0
20.08.2005;384.0
21.08.2005;374.0
22.08.2005;373.0
23.08.2005;364.0
24.08.2005;369.0
25.08.2005;358.0
26.08.2005;349.0
27.08.2005;346.0
28.08.2005;339.0
29.08.2005;332.0
30.08.2005;330.0
31.08.2005;326.0
01.09.2005;321.0
02.09.2005;322.0
03.09.2005;320.0
04.09.2005;315.0
05.09.2005;314.0
06.09.2005;309.0
07.09.2005;306.0
08.09.2005;304.0
09.09.2005;303.0
10.09.2005;298.0
11.09.2005;302.0
12.09.2005;306.0
13.09.2005;299.0
14.09.2005;293.0
15.09.2005;293.0
16.09.2005;289.0
17.09.2005;321.0
18.09.2005;351.0
19.09.2005;317.0
20.09.2005;302.0
21.09.2005;300.0
22.09.2005;293.0
23.09.2005;289.0
24.09.2005;288.0
25.09.2005;284.0
26.09.2005;281.0
27.09.2005;300.0
28.09.2005;302.0
29.09.2005;304.0
30.09.2005;362.0
01.10.2005;330.0
02.10.2005;314.0
03.10.2005;305.0
04.10.2005;298.0
05.10.2005;293.0
06.10.2005;289.0
07.10.2005;286.0
08.10.2005;281.0
09.10.2005;279.0
10.10.2005;276.0
11.10.2005;276.0
12.10.2005;272.0
13.10.2005;269.0
14.10.2005;269.0
15.10.2005;267.0
16.10.2005;263.0
17.10.2005;264.0
18.10.2005;261.0
19.10.2005;259.0
20.10.2005;259.0
21.10.2005;257.0
22.10.2005;256.0
23.10.2005;254.0
24.10.2005;253.0
25.10.2005;250.0
26.10.2005;248.0
27.10.2005;248.0
28.10.2005;246.0
29.10.2005;247.0
30.10.2005;244.0
31.10.2005;244.0
01.11.2005;241.0
02.11.2005;241.0
03.11.2005;241.0
04.11.2005;242.0
05.11.2005;239.0
06.11.2005;239.0
07.11.2005;239.0
08.11.2005;237.0
09.11.2005;233.0
10.11.2005;232.0
11.11.2005;230.0
12.11.2005;232.0
13.11.2005;227.0
14.11.2005;228.0
15.11.2005;229.0
16.11.2005;228.0
17.11.2005;230.0
18.11.2005;228.0
19.11.2005;232.0
20.11.2005;230.0
21.11.2005;236.0
22.11.2005;235.0
23.11.2005;238.0
24.11.2005;240.0
25.11.2005;237.0
26.11.2005;233.0
27.11.2005;232.0
28.11.2005;232.0
29.11.2005;231.0
30.11.2005;229.0
01.12.2005;228.0
02.12.2005;226.0
03.12.2005;224.0
04.12.2005;224.0
05.12.2005;231.0
06.12.2005;269.0
07.12.2005;272.0
08.12.2005;267.0
09.12.2005;259.0
10.12.2005;254.0
11.12.2005;252.0
12.12.2005;250.0
13.12.2005;248.0
14.12.2005;246.0
15.12.2005;244.0
16.12.2005;312.0
17.12.2005;291.0
18.12.2005;249.0
19.12.2005;241.0
20.12.2005;238.0
21.12.2005;235.0
22.12.2005;234.0
23.12.2005;232.0
24.12.2005;230.0
25.12.2005;232.0
26.12.2005;233.0
27.12.2005;229.0
28.12.2005;226.0
29.12.2005;224.0
30.12.2005;222.0
31.12.2005;221.0
01.01.2006;220.0
02.01.2006;218.0
03.01.2006;215.0
04.01.2006;214.0
05.01.2006;213.0
06.01.2006;212.0
07.01.2006;211.0
08.01.2006;210.0
09.01.2006;209.0
10.01.2006;208.0
11.01.2006;207.0
12.01.2006;206.0
13.01.2006;205.0
14.01.2006;204.0
15.01.2006;204.0
16.01.2006;203.0
17.01.2006;203.0
18.01.2006;202.0
19.01.2006;196.0
20.01.2006;191.0
21.01.2006;194.0
22.01.2006;193.0
23.01.2006;188.0
24.01.2006;185.0
25.01.2006;185.0
26.01.2006;183.0
27.01.2006;181.0
28.01.2006;179.0
29.01.2006;178.0
30.01.2006;176.0
31.01.2006;175.0
01.02.2006;174.0
02.02.2006;172.0
03.02.2006;170.0
04.02.2006;169.0
05.02.2006;167.0
06.02.2006;165.0
07.02.2006;165.0
08.02.2006;166.0
09.02.2006;163.0
10.02.2006;161.0
11.02.2006;158.0
12.02.2006;157.0
13.02.2006;155.0
14.02.2006;153.0
15.02.2006;152.0
16.02.2006;156.0
17.02.2006;170.0
18.02.2006;165.0
19.02.2006;160.0
20.02.2006;159.0
21.02.2006;172.0
22.02.2006;169.0
23.02.2006;164.0
24.02.2006;162.0
25.02.2006;161.0
26.02.2006;160.0
27.02.2006;163.0
28.02.2006;162.0
01.03.2006;163.0
02.03.2006;164.0
03.03.2006;165.0
04.03.2006;166.0
05.03.2006;165.0
06.03.2006;166.0
07.03.2006;167.0
08.03.2006;166.0
09.03.2006;179.0
10.03.2006;211.0
11.03.2006;192.0
12.03.2006;178.0
13.03.2006;175.0
14.03.2006;176.0
15.03.2006;176.0
16.03.2006;177.0
17.03.2006;178.0
18.03.2006;178.0
19.03.2006;180.0
20.03.2006;181.0
21.03.2006;182.0
22.03.2006;184.0
23.03.2006;188.0
24.03.2006;189.0
25.03.2006;189.0
26.03.2006;285.0
27.03.2006;340.0
28.03.2006;326.0
29.03.2006;537.0
30.03.2006;386.0
31.03.2006;384.0
01.04.2006;383.0
02.04.2006;381.0
03.04.2006;385.0
04.04.2006;398.0
05.04.2006;396.0
06.04.2006;392.0
07.04.2006;399.0
08.04.2006;399.0
09.04.2006;390.0
10.04.2006;390.0
11.04.2006;371.0
12.04.2006;365.0
13.04.2006;354.0
14.04.2006;361.0
15.04.2006;362.0
16.04.2006;350.0
17.04.2006;364.0
18.04.2006;352.0
19.04.2006;345.0
20.04.2006;346.0
21.04.2006;344.0
22.04.2006;348.0
23.04.2006;349.0
24.04.2006;350.0
25.04.2006;349.0
26.04.2006;358.0
27.04.2006;364.0
28.04.2006;527.0
29.04.2006;660.0
30.04.2006;640.0
01.05.2006;620.0
02.05.2006;600.0
03.05.2006;590.0
04.05.2006;590.0
05.05.2006;590.0
06.05.2006;590.0
07.05.2006;584.0
08.05.2006;578.0
09.05.2006;572.0
10.05.2006;566.0
11.05.2006;560.0
12.05.2006;554.0
13.05.2006;548.0
14.05.2006;542.0
15.05.2006;536.0
16.05.2006;530.0
17.05.2006;529.0
18.05.2006;528.0
19.05.2006;530.0
20.05.2006;529.0
21.05.2006;527.0
22.05.2006;527.0
23.05.2006;525.0
24.05.2006;524.0
25.05.2006;521.0
26.05.2006;522.0
27.05.2006;527.0
28.05.2006;538.0
29.05.2006;544.0
30.05.2006;548.0
31.05.2006;548.0
01.06.2006;555.0
02.06.2006;543.0
03.06.2006;769.0
04.06.2006;666.0
05.06.2006;665.0
06.06.2006;631.0
07.06.2006;612.0
08.06.2006;598.0
09.06.2006;592.0
10.06.2006;592.0
11.06.2006;594.0
12.06.2006;597.0
13.06.2006;600.0
14.06.2006;603.0
15.06.2006;605.0
16.06.2006;607.0
17.06.2006;607.0
18.06.2006;609.0
19.06.2006;611.0
20.06.2006;610.0
21.06.2006;612.0
22.06.2006;612.0
23.06.2006;612.0
24.06.2006;612.0
25.06.2006;612.0
26.06.2006;611.0
27.06.2006;610.0
28.06.2006;611.0
29.06.2006;646.0
30.06.2006;640.0
01.07.2006;628.0
02.07.2006;632.0
03.07.2006;618.0
04.07.2006;615.0
05.07.2006;614.0
06.07.2006;614.0
07.07.2006;611.0
08.07.2006;613.0
09.07.2006;611.0
10.07.2006;609.0
11.07.2006;609.0
12.07.2006;607.0
13.07.2006;607.0
14.07.2006;605.0
15.07.2006;603.0
16.07.2006;602.0
17.07.2006;600.0
18.07.2006;599.0
19.07.2006;597.0
20.07.2006;594.0
21.07.2006;593.0
22.07.2006;591.0
23.07.2006;588.0
24.07.2006;586.0
25.07.2006;584.0
26.07.2006;582.0
27.07.2006;579.0
28.07.2006;536.0
29.07.2006;560.0
30.07.2006;569.0
31.07.2006;566.0
01.08.2006;566.0
02.08.2006;563.0
03.08.2006;564.0
04.08.2006;579.0
05.08.2006;569.0
06.08.2006;606.0
07.08.2006;777.0
08.08.2006;705.0
09.08.2006;620.0
10.08.2006;615.0
11.08.2006;605.0
12.08.2006;608.0
13.08.2006;613.0
14.08.2006;602.0
15.08.2006;601.0
16.08.2006;600.0
17.08.2006;599.0
18.08.2006;599.0
19.08.2006;599.0
20.08.2006;597.0
21.08.2006;600.0
22.08.2006;600.0
23.08.2006;598.0
24.08.2006;599.0
25.08.2006;598.0
26.08.2006;596.0
27.08.2006;595.0
28.08.2006;594.0
29.08.2006;593.0
30.08.2006;597.0
31.08.2006;597.0
01.09.2006;590.0
02.09.2006;589.0
03.09.2006;585.0
04.09.2006;583.0
05.09.2006;582.0
06.09.2006;580.0
07.09.2006;577.0
08.09.2006;610.0
09.09.2006;584.0
10.09.2006;575.0
11.09.2006;571.0
12.09.2006;568.0
