date;Hieslwirt;Glashuetten;Hinterlug;Kerschbaumer;Mitterlug
30.11.2016;;;300.6;;237.5
21.11.2016;;;;301.1;
14.09.2016;;;296.3;;
01.09.2016;246.3;263;;299.4;
01.06.2016;;;296.3;;235.3
18.05.2016;;;;299.1;
09.03.2016;;;298.5;;
24.02.2016;264.2;246.4;;302;
25.11.2015;;;291.9;;237.5
17.11.2015;;;;301.3;
23.09.2015;;;291.9;;
09.09.2015;267.3;264;;300.5;
18.06.2015;;;;;235.3
17.06.2015;;;298.5;;
02.06.2015;;;;299.8;
11.03.2015;;;296.3;;
03.03.2015;248.2;263.7;;299.2;
04.12.2014;;;291.9;;233.1
25.11.2014;;;;289.9;
23.09.2014;;;291.9;;
10.09.2014;247.6;265;;298.9;
17.06.2014;;;298.5;;239.6
05.06.2014;;;;298.8;
13.03.2014;;;296.3;;
26.02.2014;244.7;263.4;;298.6;
27.11.2013;;;294.1;;253.3
13.11.2013;;;;302;
28.08.2013;;;291.9;;
20.08.2013;249.6;264.3;;295.9;
28.05.2013;;;296.3;;233.1
22.05.2013;;;;292.6;
13.03.2013;;;305;;
27.02.2013;250.2;265.2;;295.4;
29.11.2012;;;289.8;;
28.11.2012;;;;;
20.11.2012;;;;301.1;
30.08.2012;;;289.8;;
21.08.2012;246.1;263.5;;297.1;
20.06.2012;;;;;
05.06.2012;;;;293.3;
07.03.2012;;;;;
21.02.2012;242.5;261.8;;292.8;
14.12.2011;;;;;
16.11.2011;;;;296.6;
27.09.2011;;;;;
15.09.2011;241.5;;;;
14.09.2011;;;;294.5;
08.06.2011;;;;291.7;
01.06.2011;;;;;
31.05.2011;;;;;
10.03.2011;;;;;
23.02.2011;242.7;261.8;;296.5;
01.12.2010;;;;;
17.11.2010;;;;293.8;
30.09.2010;248;260.2;;;
01.09.2010;;;;299.8;
30.06.2010;;;;295.1;
09.06.2010;;;292;;228
04.03.2010;;;285;;
17.02.2010;241.3;261.8;;294.4;
25.11.2009;;;282;;225
10.11.2009;;;;295;
02.09.2009;;;284;;
27.08.2009;243.8;262.1;;291.5;
09.06.2009;;;282;;223
03.06.2009;;;;291.5;
27.05.2009;;;;283.5;
11.03.2009;;;284;;
26.02.2009;241.7;262.7;;290.5;
26.11.2008;;;285;;225
19.11.2008;;;;295.5;
04.09.2008;287.7;264.4;281;296.2;
06.06.2008;;;;;223
05.06.2008;;;284;;
06.03.2008;;;;284.9;
05.03.2008;;;279;;
20.02.2008;237.8;257.4;;;
05.12.2007;;;;;224
21.11.2007;;;;289.4;
05.09.2007;234;;276;;
21.08.2007;;;;288.7;
06.06.2007;;;;286.8;
05.06.2007;;;279;;221
07.03.2007;236;257;284;;
21.02.2007;;;;291.4;
06.12.2006;;;;;
22.11.2006;;;;290.1;
19.09.2006;;;;282.6;
06.09.2006;237;254;278;;
07.06.2006;;;;;
23.05.2006;;;;282.4;
08.03.2006;235;251;279;;
23.02.2006;;;;293.6;
06.12.2005;;;276;;
23.11.2005;;;;308.1;
17.11.2005;;;;;222
07.09.2005;236;257;284;;
24.08.2005;;;;290.6;
01.06.2005;;;;;
18.05.2005;;;;279.5;
09.03.2005;;;;;
22.02.2005;;;;291.2;
01.12.2004;;;;;
24.11.2004;;;;295.7;
01.09.2004;;;;;
25.08.2004;;;;280.1;
02.06.2004;;;;;
10.03.2004;;;;;
03.12.2003;;;;;
03.09.2003;;;;;
04.06.2003;;;;;
12.03.2003;;;;;
04.12.2002;;;;;
04.09.2002;;;;;
12.06.2002;;;;;
06.03.2002;;;;;
05.12.2001;;;;;
19.09.2001;;;;;
06.06.2001;;;;;
14.03.2001;;;;;
20.12.2000;;;;;
13.09.2000;;;;;
07.06.2000;;;;;
15.03.2000;;;;;
01.12.1999;;;;;
15.09.1999;;;;;
14.06.1999;;;;;
24.03.1999;;;;;
02.12.1998;;;;;
23.09.1998;;;;;
03.07.1998;;;;;
15.06.1998;;;;;
12.03.1998;;;;;
10.12.1997;;;;;
20.10.1997;;;;;
13.10.1997;;;;;
11.06.1997;;;;;
10.03.1997;;;;;
16.12.1996;;;;;
09.09.1996;;;;;
20.06.1996;;;;;
25.03.1996;;;;;
11.12.1995;;;;;
25.09.1995;;;;;
27.06.1995;;;;;
20.03.1995;;;;;
12.12.1994;;;;;
27.09.1994;;;;;
06.06.1994;;;;;
15.03.1994;;;;;
13.12.1993;;;;;
21.09.1993;;;;;
30.06.1993;;;;;
23.03.1993;;;;;
09.12.1992;;;;;
21.09.1992;;;;;
25.05.1992;;;;;
25.02.1992;;;;;
03.12.1991;;;;;
23.09.1991;;;;;
13.05.1991;;;;;
04.03.1991;;;;;
03.12.1990;;;;;
17.09.1990;;;;;
18.06.1990;;;;;
06.03.1990;;;;;
14.12.1989;;;;;
11.09.1989;;;;;
03.07.1989;;;;;
24.04.1989;;;;;
08.03.1989;;;;;
17.01.1989;;;;;
08.11.1988;;;;;
21.06.1988;;;;;
10.05.1988;;;;;
26.01.1988;;;;;
