date;Hieslwirt;Glashuetten;Hinterlug;Kerschbaumer;Mitterlug
30.11.2016;;;0;;0
21.11.2016;;;;4.1;
14.09.2016;;;0;;
01.09.2016;0.6;0.8;;4.9;
01.06.2016;;;0;;0
18.05.2016;;;;5.2;
09.03.2016;;;0;;
24.02.2016;0.5;0.8;;8.3;
25.11.2015;;;0;;0
17.11.2015;;;;5.4;
23.09.2015;;;0;;
09.09.2015;0.9;0.7;;5.1;
18.06.2015;;;;;0
17.06.2015;;;0;;
02.06.2015;;;;5.1;
11.03.2015;;;0;;
03.03.2015;0.6;1.6;;8;
04.12.2014;;;0;;0
25.11.2014;;;;3.9;
23.09.2014;;;0;;
10.09.2014;0.8;0.7;;4.5;
17.06.2014;;;0;;0
05.06.2014;;;;4.3;
13.03.2014;;;0;;
26.02.2014;0.5;0.7;;5.8;
27.11.2013;;;0;;0
13.11.2013;;;;6;
28.08.2013;;;0;;
20.08.2013;0.5;0.7;;4.1;
28.05.2013;;;0;;0
22.05.2013;;;;7.5;
13.03.2013;;;0;;
27.02.2013;0.5;4.7;;5.1;
29.11.2012;;;1.4;;
28.11.2012;;;;;0
20.11.2012;;;;7.1;
30.08.2012;;;1.1;;
21.08.2012;0.5;0.6;;6.1;
20.06.2012;;;1;;1.1
05.06.2012;;;;7.7;
07.03.2012;;;1.3;;
21.02.2012;0.5;2.6;;7.8;
14.12.2011;;;1.2;;0
16.11.2011;;;;6;
27.09.2011;;;1.5;;
15.09.2011;0;;;;
14.09.2011;;;;6;
08.06.2011;;;;7;
01.06.2011;;;0;;
31.05.2011;;;;;0
10.03.2011;;;16.6;;
23.02.2011;0;0.6;;7.4;
01.12.2010;;;0;;1.8
17.11.2010;;;;5;
30.09.2010;2.3;1.7;2;;
01.09.2010;;;;5.4;
30.06.2010;;;;4.6;
09.06.2010;;;0;;0
04.03.2010;;;6.3;;
17.02.2010;0.6;1.6;;6.6;
25.11.2009;;;1.3;;1.7
10.11.2009;;;;3.7;
02.09.2009;;;1.9;;
27.08.2009;0;0.5;;3.1;
09.06.2009;;;1.1;;3.8
03.06.2009;;;;5.1;
27.05.2009;;;;4.3;
11.03.2009;;;10;;
26.02.2009;0.6;2.7;;19.5;
26.11.2008;;;4.4;;0
19.11.2008;;;;4.5;
04.09.2008;0.5;0.5;4.1;4.3;
06.06.2008;;;;;0
05.06.2008;;;1.8;;
06.03.2008;;;;5.8;
05.03.2008;;;6.3;;
20.02.2008;0.5;0.6;;;
05.12.2007;;;;;8.6
21.11.2007;;;;4.4;
05.09.2007;0;;1;;
21.08.2007;;;;6.4;
06.06.2007;;;;6;
05.06.2007;;;1;;0
07.03.2007;0;1.1;1.1;;
21.02.2007;;;;7.1;
06.12.2006;;;0;;0
22.11.2006;;;;6.6;
19.09.2006;;;;5.4;
06.09.2006;0;0;1;;
07.06.2006;;;1.1;;0
23.05.2006;;;;6.1;
08.03.2006;1;2.3;1.2;;
23.02.2006;;;;23.3;
06.12.2005;;;1.2;;
23.11.2005;;;;8.2;
17.11.2005;;;;;0
07.09.2005;0;1.1;1.1;;
24.08.2005;;;;6.3;
01.06.2005;;;0.6;;
18.05.2005;;;;7.2;
09.03.2005;1;3;1;;
22.02.2005;;;;10.1;
01.12.2004;;;1;;
24.11.2004;;;;11.3;
01.09.2004;1;1;1;;
25.08.2004;;;;6.2;
02.06.2004;;;1;8;
10.03.2004;1;1;1;;1
03.12.2003;;;1;5;9
03.09.2003;1;1;1;5;1
04.06.2003;;;1;5;1
12.03.2003;1;1;1;6;1
04.12.2002;;;1;3;1
04.09.2002;1;1;1;5;1
12.06.2002;;;1;5;1
06.03.2002;1;1;1;7;1
05.12.2001;;;1;;1
19.09.2001;1;1;1;;1
06.06.2001;;;1;5;1
14.03.2001;1;1;1;9;1
20.12.2000;;;1;;1
13.09.2000;2;2;2;4;2
07.06.2000;;1;;3;
15.03.2000;1;1;1;4;1
01.12.1999;;1;;4;
15.09.1999;1;1;1;3;1
14.06.1999;;1;;3;
24.03.1999;1;2;1;3;1
02.12.1998;;1;;2;
23.09.1998;1;1;1;3;1
03.07.1998;;1;;;
15.06.1998;;1;;3;
12.03.1998;1;1;1;4;1
10.12.1997;;1;;3;
20.10.1997;2;1;;2;
13.10.1997;;;1;;1
11.06.1997;;1;;2;
10.03.1997;1;1;1;4;1
16.12.1996;;1;1;2;1
09.09.1996;1;1;1;3;1
20.06.1996;;2;;3;
25.03.1996;1;2;;8;
11.12.1995;;2;2;3;2
25.09.1995;2;2;2;3;2
27.06.1995;;1;;3;
20.03.1995;2;2;2;4;2
12.12.1994;;2;;3;
27.09.1994;1;1;1;2;1
06.06.1994;;1;;2;
15.03.1994;2;2;2;5;2
13.12.1993;;4;;4;
21.09.1993;2;2;2;3;2
30.06.1993;;;;3;
23.03.1993;1;1;1;3;
09.12.1992;;1;;;
21.09.1992;1;;1;1;1
25.05.1992;;1;;1;
25.02.1992;1;;1;3;1
03.12.1991;;1;;3;
23.09.1991;2;2;2;3;2
13.05.1991;;2;;5;
04.03.1991;1;1;1;4;1
03.12.1990;;1;;2;1
17.09.1990;1;1;1;1;1
18.06.1990;;1;;1;
06.03.1990;1;1;1;3;1
14.12.1989;;1;;2;
11.09.1989;1;1;;1;1
03.07.1989;1;;1;;1
24.04.1989;;1;;;
08.03.1989;1;;;;
17.01.1989;1;;1;;
08.11.1988;1;1;1;;1
21.06.1988;;1;;;
10.05.1988;;;1;;1
26.01.1988;1;1;;;
