date;Hieslwirt;Glashuetten;Hinterlug;Kerschbaumer;Mitterlug
30.11.2016;;;0;;0
21.11.2016;;;;2.9;
14.09.2016;;;0;;
01.09.2016;0;0;;3.1;
01.06.2016;;;0;;0
18.05.2016;;;;3.7;
09.03.2016;;;0;;
24.02.2016;0;0;;4.4;
25.11.2015;;;0;;0
17.11.2015;;;;3.4;
23.09.2015;;;0;;
09.09.2015;0;0;;3.3;
18.06.2015;;;;;0
17.06.2015;;;0;;
02.06.2015;;;;3.2;
11.03.2015;;;0;;
03.03.2015;0;0;;4.1;
04.12.2014;;;0;;0
25.11.2014;;;;2.8;
23.09.2014;;;0;;
10.09.2014;0;0;;2.8;
17.06.2014;;;0;;0
05.06.2014;;;;3.1;
13.03.2014;;;0;;
26.02.2014;0;0;;3.4;
27.11.2013;;;0;;0
13.11.2013;;;;3.6;
28.08.2013;;;0;;
20.08.2013;0;0;;2;
28.05.2013;;;0;;0
22.05.2013;;;;3.6;
13.03.2013;;;1;;
27.02.2013;0;2.7;;2.9;
29.11.2012;;;0;;
28.11.2012;;;;;0
20.11.2012;;;;3.8;
30.08.2012;;;0;;
21.08.2012;0;0;;6.5;
20.06.2012;;;0;;0
05.06.2012;;;;3.5;
07.03.2012;;;4.4;;
21.02.2012;0;0;;3.7;
14.12.2011;;;0;;0
16.11.2011;;;;3.6;
27.09.2011;;;0;;
15.09.2011;0;;;;
14.09.2011;;;;3.7;
08.06.2011;;;;3.7;
01.06.2011;;;0;;
31.05.2011;;;;;0
10.03.2011;;;0;;
23.02.2011;0;0;;4;
01.12.2010;;;0;;0
17.11.2010;;;;2.9;
30.09.2010;0;0;0;;
01.09.2010;;;;3.1;
30.06.2010;;;;2.9;
09.06.2010;;;0;;0
04.03.2010;;;1.1;;
17.02.2010;0;0;;3.1;
25.11.2009;;;0;;0
10.11.2009;;;;2.1;
02.09.2009;;;0;;
27.08.2009;0;0;;1.9;
09.06.2009;;;0;;0
03.06.2009;;;;2.7;
27.05.2009;;;;2.3;
11.03.2009;;;0;;
26.02.2009;0;0;;6.8;
26.11.2008;;;0;;0
19.11.2008;;;;2.5;
04.09.2008;0;0;0;2.5;
06.06.2008;;;;;0
05.06.2008;;;0;;
06.03.2008;;;;2.8;
05.03.2008;;;0;;
20.02.2008;0;0;;;
05.12.2007;;;;;0
21.11.2007;;;;3;
05.09.2007;0;;0;;
21.08.2007;;;;3.3;
06.06.2007;;;;2.9;
05.06.2007;;;0;;0
07.03.2007;0;0;0;;
21.02.2007;;;;3.7;
06.12.2006;;;;;
22.11.2006;;;;3.1;
19.09.2006;;;;2.6;
06.09.2006;0;0;0;;
07.06.2006;;;;;
23.05.2006;;;;2.8;
08.03.2006;0;0;0;;
23.02.2006;;;;9.5;
06.12.2005;;;0;;
23.11.2005;;;;3.3;
17.11.2005;;;;;0
07.09.2005;0;0;0;;
24.08.2005;;;;3.4;
01.06.2005;;;;;
18.05.2005;;;;3.3;
09.03.2005;;;;;
22.02.2005;;;;4.9;
01.12.2004;;;;;
24.11.2004;;;;4.8;
01.09.2004;;;;;
25.08.2004;;;;2.8;
02.06.2004;;;;;
10.03.2004;;;;;
03.12.2003;;;;;
03.09.2003;;;;;
04.06.2003;;;;;
12.03.2003;;;;;
04.12.2002;;;;;
04.09.2002;;;;;
12.06.2002;;;;;
06.03.2002;;;;;
05.12.2001;;;;;
19.09.2001;;;;;
06.06.2001;;;;;
14.03.2001;;;;;
20.12.2000;;;;;
13.09.2000;;;;;
07.06.2000;;;;;
15.03.2000;;;;;
01.12.1999;;;;;
15.09.1999;;;;;
14.06.1999;;;;;
24.03.1999;;;;;
02.12.1998;;;;;
23.09.1998;;;;;
03.07.1998;;;;;
15.06.1998;;;;;
12.03.1998;;;;;
10.12.1997;;;;;
20.10.1997;;;;;
13.10.1997;;;;;
11.06.1997;;;;;
10.03.1997;;;;;
16.12.1996;;;;;
09.09.1996;;;;;
20.06.1996;;;;;
25.03.1996;;;;;
11.12.1995;;;;;
25.09.1995;;;;;
27.06.1995;;;;;
20.03.1995;;;;;
12.12.1994;;;;;
27.09.1994;;;;;
06.06.1994;;;;;
15.03.1994;;;;;
13.12.1993;;;;;
21.09.1993;;;;;
30.06.1993;;;;;
23.03.1993;;;;;
09.12.1992;;;;;
21.09.1992;;;;;
25.05.1992;;;;;
25.02.1992;;;;;
03.12.1991;;;;;
23.09.1991;;;;;
13.05.1991;;;;;
04.03.1991;;;;;
03.12.1990;;;;;
17.09.1990;;;;;
18.06.1990;;;;;
06.03.1990;;;;;
14.12.1989;;;;;
11.09.1989;;;;;
03.07.1989;;;;;
24.04.1989;;;;;
08.03.1989;;;;;
17.01.1989;;;;;
08.11.1988;;;;;
21.06.1988;;;;;
10.05.1988;;;;;
26.01.1988;;;;;
