date;Hieslwirt;Glashuetten;Hinterlug;Kerschbaumer;Mitterlug
30.11.2016;;;8;;7.7
21.11.2016;;;;9.3;
14.09.2016;;;8.7;;
01.09.2016;8.2;9.2;;9.1;
01.06.2016;;;8.5;;8.2
18.05.2016;;;;8;
09.03.2016;;;8;;
24.02.2016;8.2;8.9;;8.5;
25.11.2015;;;8.2;;7.8
17.11.2015;;;;9.3;
23.09.2015;;;8.9;;
09.09.2015;8.5;9.6;;9.6;
18.06.2015;;;;;8.1
17.06.2015;;;8.4;;
02.06.2015;;;;8.7;
11.03.2015;;;7.9;;
03.03.2015;8.1;8.7;;8.4;
04.12.2014;;;8.1;;7.7
25.11.2014;;;;9.3;
23.09.2014;;;8.6;;
10.09.2014;8.5;9.6;;9.5;
17.06.2014;;;8.5;;7.9
05.06.2014;;;;8.9;
13.03.2014;;;8;;
26.02.2014;8.3;9.1;;8.7;
27.11.2013;;;8.2;;7.7
13.11.2013;;;;9.2;
28.08.2013;;;9.8;;
20.08.2013;8.3;9.6;;9.4;
28.05.2013;;;8.4;;7.9
22.05.2013;;;;9;
13.03.2013;;;8.1;;
27.02.2013;8.3;8.9;;8.6;
29.11.2012;;;8.4;;
28.11.2012;;;;;7.9
20.11.2012;;;;9.2;
30.08.2012;;;9.3;;
21.08.2012;8.7;9.6;;9.6;
20.06.2012;;;8.6;;8.2
05.06.2012;;;;9;
07.03.2012;;;8;;
21.02.2012;8.3;8.9;;8.6;
14.12.2011;;;8.2;;8.3
16.11.2011;;;;9.2;
27.09.2011;;;9.2;;
15.09.2011;8.4;;;;
14.09.2011;;;;9.4;
08.06.2011;;;;9.3;
01.06.2011;;;8.5;;
31.05.2011;;;;;8.4
10.03.2011;;;8.1;;
23.02.2011;8.2;9;;8.4;
01.12.2010;;;8.2;;7.7
17.11.2010;;;;9;
30.09.2010;8.6;9.4;8.8;;
01.09.2010;;;;9.3;
30.06.2010;;;;9.1;
09.06.2010;;;9.3;;8.2
04.03.2010;;;7.1;;
17.02.2010;8.3;8.9;;8.4;
25.11.2009;;;8.3;;8
10.11.2009;;;;9;
02.09.2009;;;9;;
27.08.2009;8.4;9.5;;9.2;
09.06.2009;;;8.8;;8.4
03.06.2009;;;;9.5;
27.05.2009;;;;8.7;
11.03.2009;;;8.1;;
26.02.2009;8.1;8.6;;8.4;
26.11.2008;;;8.4;;7.7
19.11.2008;;;;9;
04.09.2008;8.5;9.4;9.5;9.3;
06.06.2008;;;;;8.2
05.06.2008;;;8.8;;
06.03.2008;;;;8.4;
05.03.2008;;;8.4;;
20.02.2008;8.2;8.7;;;
05.12.2007;;;;;7.9
21.11.2007;;;;8.8;
05.09.2007;8.6;;8.4;;
21.08.2007;;;;9.4;
06.06.2007;;;;9;
05.06.2007;;;8;;7.7
07.03.2007;8.2;9.1;7.6;;
21.02.2007;;;;8.5;
06.12.2006;;;7.9;;7.5
22.11.2006;;;;8.9;
19.09.2006;;;;9.3;
06.09.2006;8.5;9.5;8.4;;
07.06.2006;;;8.1;;7.7
23.05.2006;;;;8.6;
08.03.2006;8.3;9.5;7.5;;
23.02.2006;;;;8.4;
06.12.2005;;;7.4;;
23.11.2005;;;;8.8;
17.11.2005;;;;;7.7
07.09.2005;8.8;9.3;8.6;;
24.08.2005;;;;9.1;
01.06.2005;;;8.1;;
18.05.2005;;;;8.7;
09.03.2005;8.5;9;7.7;;
22.02.2005;;;;8.4;
01.12.2004;;;8.1;;
24.11.2004;;;;8.9;
01.09.2004;8.6;9.5;8.5;;
25.08.2004;;;;9.3;
02.06.2004;;;8.5;9;
10.03.2004;8.7;9.6;8.2;;6.9
03.12.2003;;;8.4;9.3;8
03.09.2003;8.8;9.7;9;9.6;8.8
04.06.2003;;;8.5;8.9;8.5
12.03.2003;8.4;9.2;8;8.6;7.5
04.12.2002;;;8.2;8.9;8.2
04.09.2002;8.6;9.4;8.6;9.5;9.8
12.06.2002;;;8.6;8.9;8.1
06.03.2002;8.4;9.2;8;8.6;7.6
05.12.2001;;;8;;7.8
19.09.2001;8.5;9.4;8.7;;9.3
06.06.2001;;;8.6;9;8.1
14.03.2001;8.3;9.2;8.1;8.6;6.9
20.12.2000;;;8.1;;7.7
13.09.2000;8.8;9.6;8.7;9.3;8.3
07.06.2000;;9.6;;9;
15.03.2000;8;9.1;8.1;8.4;6.5
01.12.1999;;9.1;;9.4;
15.09.1999;9.4;9.7;8.9;9.4;9.9
14.06.1999;;;;9.2;
24.03.1999;;;8.1;9;6.8
02.12.1998;;;;;
23.09.1998;;;;;
03.07.1998;;;;;
15.06.1998;;;;;
12.03.1998;;;;;
10.12.1997;;;;;
20.10.1997;;;;;
13.10.1997;;;;;
11.06.1997;;;;;
10.03.1997;;;;;
16.12.1996;;;;;
09.09.1996;;;;;
20.06.1996;;;;;
25.03.1996;;;;;
11.12.1995;;;;;
25.09.1995;;;;;
27.06.1995;;;;;
20.03.1995;;;;;
12.12.1994;;;;;
27.09.1994;;;;;
06.06.1994;;;;;
15.03.1994;;;;;
13.12.1993;;;;;
21.09.1993;;;;;
30.06.1993;;;;;
23.03.1993;;;;;
09.12.1992;;;;;
21.09.1992;;;;;
25.05.1992;;;;;
25.02.1992;;;;;
03.12.1991;;;;;
23.09.1991;;;;;
13.05.1991;;;;;
04.03.1991;;;;;
03.12.1990;;;;;
17.09.1990;;;;;
18.06.1990;;;;;
06.03.1990;;;;;
14.12.1989;;;;;
11.09.1989;;;;;
03.07.1989;;;;;
24.04.1989;;;;;
08.03.1989;;;;;
17.01.1989;;;;;
08.11.1988;;;;;
21.06.1988;;;;;
10.05.1988;;;;;
26.01.1988;;;;;
