"date";"precipitation_mm_d";"discharge_m3_d";"temperature";"snow_depth_m";"swe_jonas"
"2001-01-01";0;2869;-7.9;0;0
"2001-01-02";0.4;2867;-5.9;0;0
"2001-01-03";2.1;2861;-2.3;0;0
"2001-01-04";0.8;2866;-1.6;0;0
"2001-01-05";0;2868;0.1;0;0
"2001-01-06";0;2890;0.9;0;0
"2001-01-07";2.6;2919;0.6;0;0
"2001-01-08";21.7;2942;-0.4;0;0
"2001-01-09";0;2941;-0.6;0;0
"2001-01-10";0;2930;-3.1;0;0
"2001-01-11";6;2923;-0.6;0;0
"2001-01-12";0;2924;-1.1;0;0
"2001-01-13";0;2920;-6.5;0;0
"2001-01-14";0;2912;-9.7;0;0
"2001-01-15";0;2906;-9.8;0;0
"2001-01-16";0;2900;-9.8;0;0
"2001-01-17";0;2896;-8.8;0;0
"2001-01-18";0;2890;-6;0;0
"2001-01-19";0;2882;-6.6;0;0
"2001-01-20";0;2877;-2.9;0;0
"2001-01-21";1;2873;-2.7;0;0
"2001-01-22";0;2872;-3;0;0
"2001-01-23";0;2867;-3.1;0;0
"2001-01-24";2.8;2866;-1.6;0;0
"2001-01-25";0;2866;0.5;0;0
"2001-01-26";2.7;2889;1.6;0;0
"2001-01-27";0;2901;-0.1;0;0
"2001-01-28";0;2882;-1.3;0;0
"2001-01-29";0;2874;-3.2;0;0
"2001-01-30";5.4;2866;-1.1;0;0
"2001-01-31";6.7;2863;-1.1;0;0
"2001-02-01";6.7;2861;-2;0;0
"2001-02-02";5.4;2859;-3.6;0;0
"2001-02-03";18.8;2859;-2.2;0;0
"2001-02-04";9.7;3026;1.3;0;0
"2001-02-05";2.1;3052;1.6;0;0
"2001-02-06";0;3047;2.2;0;0
"2001-02-07";0;3053;1.1;0;0
"2001-02-08";0;3057;0.6;0;0
"2001-02-09";2.4;3054;1.8;0;0
"2001-02-10";0.1;3054;2.2;0;0
"2001-02-11";0;3048;0.2;0;0
"2001-02-12";0;3041;0.2;0;0
"2001-02-13";3;3031;1.5;0;0
"2001-02-14";0;3032;0.7;0;0
"2001-02-15";0;3015;-0.7;0;0
"2001-02-16";0;2999;-0.2;0;0
"2001-02-17";1.7;2988;0.6;0;0
"2001-02-18";0.5;2980;2.3;0;0
"2001-02-19";1.5;2978;1.7;0;0
"2001-02-20";6.5;2972;1.1;0;0
"2001-02-21";12.4;2966;1.8;0;0
"2001-02-22";5.2;3053;1.3;0;0
"2001-02-23";9.6;3039;0.1;0;0
"2001-02-24";0;3008;-2.9;0;0
"2001-02-25";0;2985;-5.1;0;0
"2001-02-26";1;2973;-3.2;0;0
"2001-02-27";0;2964;-2.7;0;0
"2001-02-28";0;2959;-0.7;0;0
"2001-03-01";0;2950;-0.3;0;0
